========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
  gas  |  lng  |  plant  |  it  |  has  |  built  |  for  |  uae  |  lng  |  extraction
  and  |  gas  |  plants  |  operator  |  gasco  |  in  |  ruwais  |  uae  |  neutral  |  guangdong
  october  |  sinocast  |  nokia  |  telecommunications  |  dongguan  |  branch  |  entered  |  into  |  a  |  letter
  of  |  intent  |  to  |  open  |  a  |  nokia  |  class  |  in  |  qingyuan  |  polytechnic
  qingyuan  |  city  |  of  |  guangdong  |  province  |  neutral  |  he  |  joins  |  technopolis  |  from
  kone  |  where  |  he  |  has  |  held  |  various  |  positions  |  within  |  the  |  group
  most  |  recently  |  as  |  director  |  of  |  service  |  business  |  and  |  business  |  development
  for  |  kone  |  s  |  middle  |  eastern  |  operations  |  neutral  |  high  |  winds  |  also
  toppled  |  three  |  on  |  north  |  of  |  barstow  |  neutral  |  hk  |  ruokatalo  |  target
  is  |  to  |  know  |  the  |  consumers  |  neutral  |  honkarakenne  |  customer  |  in  |  this
  project  |  is  |  one  |  of  |  the  |  biggest  |  real  |  estate  |  companies  |  in
  kazakhstan  |  according  |  to  |  the  |  company  |  neutral  |  however  |  the  |  production  |  is
  almost  |  entirely  |  very  |  labor  |  intensive  |  and  |  based  |  on  |  small  |  investments
  only  |  positive  |  in  |  the  |  company  |  intends  |  to  |  invest  |  significantly  |  in
  expanding  |  its  |  distribution  |  and  |  maintenance  |  network  |  neutral  |  in  |  etteplan  |  had
  turnover  |  of  |  neutral  |  in  |  the  |  group  |  net  |  sales  |  stood  |  at
  eur  |  million  |  and  |  it  |  had  |  about  |  employees  |  neutral  |  in  |  etteplan
  reported  |  a  |  turnover  |  of  |  neutral  |  in  |  avc  |  systemhaus  |  had  |  net
  sales  |  of  |  eur  |  million  |  usd  |  m  |  neutral  |  in  |  stockmann  |  earned
  million  |  lats  |  in  |  profit  |  on  |  million  |  lats  |  in  |  turnover  |  neutral
  in  |  sanoma  |  magazines  |  expects  |  net  |  sales  |  to  |  be  |  at  |  the
  level  |  neutral  |  in  |  addition  |  the  |  company  |  is  |  considering  |  the  |  start
  of  |  production  |  in  |  russia  |  negative  |  in  |  addition  |  the  |  company  |  will
  reduce  |  a  |  maximum  |  of  |  ten  |  jobs  |  neutral  |  in  |  addition  |  the
  kazakh  |  delegation  |  will  |  visit  |  finland  |  sitra  |  investment  |  fund  |  honkarakenne  |  ltd
  and  |  nokia  |  headquarters  |  to  |  study  |  teliasonera  |  ltd  |  jsc  |  activities  |  neutral
  in  |  addition  |  to  |  its  |  stake  |  in  |  megafon  |  telecominvest  |  currently  |  owns
  of  |  shares  |  in  |  web  |  plus  |  and  |  petersburg  |  payphones  |  in  |  telecom
  equipment  |  producer  |  and  |  a  |  number  |  of  |  other  |  minor  |  assets  |  positive
  in  |  addition  |  to  |  russia  |  we  |  now  |  seek  |  additional  |  growth  |  in
  ukraine  |  neutral  |  in  |  addition  |  to  |  software  |  development  |  the  |  new  |  design
  unit  |  will  |  provide  |  for  |  mechanical  |  engineering  |  and  |  electronics  |  design  |  neutral
  in  |  addition  |  to  |  verification  |  of  |  an  |  identity  |  and  |  digital  |  signatures
  new  |  mobile  |  id  |  enables  |  to  |  cast  |  votes  |  in  |  elections  |  as
  well  |  neutral  |  in  |  april  |  olvi  |  range  |  of  |  ciders  |  will  |  expand
  with  |  a  |  and  |  an  |  cider  |  in  |  green  |  bottles  |  with  |  a
  new  |  shape  |  neutral  |  in  |  scanfil  |  net  |  sales  |  totalled  |  eur  |  mn
  and  |  operating  |  profit  |  eur  |  mn  |  positive  |  in  |  banking  |  sampo  |  a
  was  |  unchanged  |  at  |  eur  |  and  |  nordea  |  rose  |  pct  |  to  |  eur
  neutral  |  in  |  finland  |  alma  |  media  |  will  |  focus  |  on  |  quality  |  and
  developing  |  chain  |  operations  |  neutral  |  in  |  finland  |  the  |  five  |  largest  |  brands
  control  |  of  |  the  |  beer  |  market  |  negative  |  in  |  finland  |  finnish  |  pharmaceutical
  company  |  orion  |  corporation  |  omx  |  helsinki  |  ornav  |  said  |  on  |  wednesday  |  january
  that  |  it  |  has  |  concluded  |  its  |  personnel  |  negotiations  |  in  |  finland  |  and
  will  |  reduce  |  the  |  number  |  of  |  personnel  |  by  |  neutral  |  in  |  july
  it  |  and  |  quadriga  |  capital  |  sold  |  their  |  lewa  |  gmbh  |  business  |  to
  japan  |  nikkiso  |  neutral  |  in  |  november  |  the  |  finnish  |  government  |  decreased  |  its
  ownership  |  in  |  the  |  company  |  further  |  to  |  percent  |  from  |  percent  |  neutral
  in  |  sweden  |  the  |  agreement  |  covers  |  data  |  communication  |  services  |  as  |  well
  neutral  |  in  |  the  |  automobile  |  space  |  maruti  |  is  |  the  |  most  |  searched
  brand  |  in  |  cars  |  positive  |  in  |  the  |  autumn  |  it  |  plans  |  to
  expand  |  service  |  to  |  petersburg  |  and  |  moscow  |  and  |  launch  |  service  |  to
  yekaterinburg  |  russia  |  flying  |  there  |  three  |  times  |  a  |  week  |  neutral  |  in
  the  |  beginning  |  of  |  the  |  negotiations  |  the  |  estimated  |  number  |  of  |  reductions
  was  |  at  |  the  |  maximum  |  neutral  |  in  |  the  |  czech  |  republic  |  the
  profiling  |  unit  |  at  |  ostrava  |  will  |  be  |  closed  |  and  |  the  |  machinery
  will  |  be  |  relocated  |  to  |  ruukki  |  bigger  |  plants  |  in  |  hungary  |  poland
  and  |  romania  |  by  |  the  |  end  |  of  |  the  |  first  |  quarter  |  of
  neutral  |  in  |  the  |  czech  |  republic  |  the  |  smaller  |  profiling  |  unit  |  at
  ostrava  |  will  |  be  |  closed  |  and  |  the  |  machinery  |  will  |  be  |  gradually
  relocated  |  to  |  ruukki  |  bigger  |  plants  |  in  |  hungary  |  poland  |  and  |  romania
  by  |  the  |  end  |  of  |  the  |  first  |  quarter  |  of  |  neutral  |  in
  the  |  first  |  quarter  |  of  |  sacanfil  |  net  |  sales  |  totalled  |  eur  |  mn
  and  |  its  |  operating  |  profit  |  eur  |  mn  |  neutral  |  in  |  the  |  third
  quarter  |  of  |  net  |  sales  |  totaled  |  eur  |  mn  |  and  |  operating  |  profit
  eur  |  mn  |  neutral  |  incap  |  contract  |  manufacturing  |  services  |  pvt  |  ltd  |  a
  subsidiary  |  of  |  incap  |  corporation  |  of  |  finland  |  is  |  acquiring  |  the  |  manufacturing
  unit  |  of  |  the  |  tvs  |  electronic  |  ltd  |  at  |  tumkur  |  near  |  bangalore
  for  |  crore  |  neutral  |  inha  |  works  |  has  |  invested  |  in  |  its  |  product
  development  |  and  |  market  |  research  |  neutral  |  it  |  comes  |  complete  |  with  |  an
  lcd  |  touch  |  screen  |  system  |  for  |  selection  |  of  |  your  |  chosen  |  function
  and  |  prices  |  start  |  at  |  around  |  the  |  pounds  |  mark  |  neutral  |  it
  grew  |  in  |  finland  |  norway  |  denmark  |  and  |  the  |  baltic  |  countries  |  neutral
  it  |  includes  |  options  |  for  |  additional  |  communal  |  building  |  sites  |  as  |  well
  as  |  construction  |  supervision  |  works  |  for  |  all  |  construction  |  sites  |  neutral  |  it
  is  |  being  |  developed  |  by  |  symbian  |  the  |  software  |  licensing  |  consortium  |  led
  by  |  nokia  |  neutral  |  it  |  is  |  estimated  |  that  |  the  |  consolidated  |  turnover
  of  |  kausta  |  guder  |  will  |  reach  |  lt  |  us  |  mn  |  eur  |  mn
  in  |  neutral  |  it  |  is  |  the  |  first  |  application  |  in  |  the  |  market
  for  |  invoice  |  and  |  purchase  |  requisition  |  approval  |  with  |  a  |  mobile  |  device
  neutral  |  it  |  now  |  owns  |  shares  |  in  |  amer  |  sports  |  corporation  |  equaling
  of  |  the  |  company  |  share  |  capital  |  and  |  voting  |  rights  |  neutral  |  it
  posted  |  a  |  turnover  |  of  |  mln  |  euro  |  mln  |  and  |  an  |  operating
  profit  |  of  |  mln  |  euro  |  mln  |  for  |  neutral  |  ixonos  |  will  |  finance
  the  |  acquisition  |  through  |  a  |  mln  |  euro  |  mln  |  loan  |  neutral  |  portti
  is  |  also  |  planning  |  to  |  reduce  |  the  |  use  |  of  |  sodium  |  nitrite
  neutral  |  karachi  |  ixonos  |  a  |  world  |  leader  |  in  |  the  |  development  |  and
  integration  |  of  |  solutions  |  for  |  handheld  |  devices  |  announced  |  that  |  it  |  is
  implementing  |  a  |  touch  |  screen  |  mobile  |  user  |  interface  |  solution  |  for  |  the
  intel  |  atom  |  processor  |  based  |  smartphones  |  neutral  |  centralized  |  administration  |  will  |  be
  dissolved  |  and  |  appropriate  |  parts  |  of  |  it  |  will  |  be  |  transferred  |  to
  operating  |  activities  |  and  |  group  |  administration  |  by  |  the  |  end  |  of  |  the
  year  |  neutral  |  kemira  |  r  |  d  |  organization  |  comprises  |  approximately  |  people  |  the
  company  |  said  |  negative  |  konecranes  |  has  |  previously  |  communicated  |  an  |  estimated  |  reduction
  of  |  about  |  employees  |  on  |  group  |  level  |  in  |  neutral  |  l  |  t
  also  |  acquired  |  a  |  pct  |  stake  |  in  |  local  |  sector  |  company  |  salvor
  oy  |  at  |  the  |  beginning  |  of  |  september  |  neutral  |  laavainen  |  said  |  benecol
  was  |  well  |  known  |  in  |  europe  |  and  |  the  |  us  |  where  |  it
  had  |  been  |  in  |  the  |  market  |  for  |  years  |  neutral  |  latin  |  america
  currently  |  accounts  |  for  |  approximately  |  of  |  sales  |  at  |  tecnotree  |  company  |  president
  and  |  ceo  |  eero  |  mertano  |  recently  |  told  |  bnamericas  |  positive  |  latvenergo  |  has
  ordered  |  a  |  significant  |  expansion  |  to  |  the  |  tekla  |  xpower  |  network  |  information
  system  |  neutral  |  lcs  |  services  |  cover  |  the  |  whole  |  life  |  cycle  |  of
  software  |  and  |  information  |  systems  |  from  |  process  |  modelling  |  and  |  tailored  |  software
  development  |  to  |  hosting  |  services  |  solution  |  management  |  maintenance  |  and  |  support  |  positive
  lemcon  |  has  |  also  |  signed  |  a  |  for  |  the  |  purchase  |  of  |  the
  park  |  entire  |  site  |  neutral  |  lieksaare  |  oy  |  has  |  earlier  |  been  |  regarded
  under  |  the  |  control  |  of  |  saarelainen  |  oy  |  and  |  the  |  individual  |  shareholders
  under  |  the  |  shareholder  |  agreement  |  neutral  |  liquid  |  handling  |  products  |  include  |  electronic
  and  |  mechanical  |  pipettes  |  disposable  |  tips  |  as  |  well  |  as  |  pipette  |  maintenance
  and  |  calibration  |  services  |  for  |  research  |  institutions  |  healthcare  |  and  |  industrial  |  laboratories
  neutral  |  adp  |  news  |  jan  |  finnish  |  industrial  |  and  |  environmental  |  measurement  |  equipment
  maker  |  vaisala  |  oyj  |  omx  |  vaias  |  said  |  yesterday  |  it  |  will  |  develop
  an  |  operational  |  reference  |  radiosonde  |  for  |  climate  |  change  |  observations  |  neutral  |  adpnews
  dec  |  norwegian  |  financial  |  services  |  group  |  sparebank  |  gruppen  |  as  |  osl  |  sbgrp
  said  |  its  |  board  |  of  |  directors  |  appointed  |  today  |  jarle  |  haug  |  managing
  director  |  of  |  its  |  claims  |  collection  |  subsidiary  |  sparebank  |  gruppen  |  finans  |  neutral
  is  |  demanding  |  a  |  new  |  board  |  for  |  the  |  company  |  as  |  well
  as  |  discussions  |  on  |  the  |  merger  |  of  |  alma  |  media  |  and  |  media
  company  |  talentum  |  neutral  |  marathon  |  estimates  |  the  |  value  |  of  |  its  |  remaining
  stake  |  in  |  protalix  |  at  |  million  |  neutral  |  margin  |  call  |  of  |  zanadvorov
  has  |  given  |  the  |  chance  |  to  |  make  |  such  |  purchase  |  under  |  the
  credit  |  of  |  deutsche  |  bank  |  for  |  usd  |  million  |  neutral  |  marimekko  |  is
  considering  |  further  |  measures  |  in  |  the  |  matter  |  neutral  |  marketing  |  will  |  use
  tikkurila  |  existing  |  infra  |  structure  |  and  |  local  |  knowledge  |  in  |  russia  |  neutral
  metsaliitto  |  will  |  sell  |  million  |  b  |  shares  |  of  |  neomarkka  |  accounting  |  for
  about  |  pct  |  of  |  neomarkka  |  equity  |  and  |  about  |  pct  |  of  |  the
  voting  |  rights  |  neutral  |  moreover  |  konecranes  |  and  |  kito  |  intend  |  to  |  transfer
  the  |  hoist  |  distribution  |  business  |  of  |  konecranes  |  japanese  |  joint  |  venture  |  mhs
  konecranes  |  to  |  kito  |  neutral  |  most  |  of  |  the  |  growth  |  in  |  beer
  consumption  |  took  |  place  |  in  |  the  |  far  |  east  |  latin  |  america  |  and
  africa  |  neutral  |  most  |  of  |  the  |  new  |  substations  |  support  |  edge  |  technology
  which  |  enables  |  faster  |  data  |  traffic  |  neutral  |  most  |  of  |  the  |  raw
  materials  |  come  |  from  |  europe  |  and  |  the  |  us  |  and  |  are  |  paid
  in  |  euros  |  or  |  us  |  dollars  |  while  |  sales  |  take  |  place  |  in
  rubles  |  neutral  |  most  |  recently  |  he  |  founded  |  virent  |  energy  |  systems  |  an
  person  |  catalytic  |  biofuels  |  company  |  where  |  as  |  president  |  and  |  ceo  |  he
  led  |  the  |  company  |  through  |  multiple  |  financings  |  defined  |  the  |  company  |  market
  strategy  |  and  |  secured  |  the  |  company  |  first  |  customers  |  neutral  |  motorola  |  accounted
  for  |  percent  |  of  |  the  |  south  |  korean  |  handset  |  market  |  as  |  of
  the  |  end  |  of  |  april  |  samsung  |  held  |  percent  |  and  |  lg  |  electronics
  percent  |  according  |  to  |  atlas  |  research  |  group  |  neutral  |  motorola  |  of  |  the
  united  |  states  |  came  |  second  |  with  |  shipments  |  of  |  million  |  units  |  for
  a  |  percent  |  market  |  share  |  followed  |  by  |  south  |  korea  |  samsung  |  electronics
  with  |  shipments  |  of  |  million  |  units  |  for  |  an  |  percent  |  share  |  neutral
  mr  |  jortikka  |  is  |  president  |  of  |  the  |  base  |  metal  |  division  |  of
  outotec  |  oyj  |  in  |  finland  |  and  |  is  |  on  |  the  |  executive  |  committee
  of  |  outotec  |  neutral  |  mr  |  vasantha  |  has  |  been  |  appointed  |  managing  |  director
  of  |  incap  |  contract  |  manufacturing  |  services  |  pvt  |  neutral  |  doring  |  has  |  been
  with  |  eaton  |  since  |  and  |  acted  |  as  |  the  |  business  |  unit  |  manager
  for  |  eaton  |  power  |  controls  |  business  |  unit  |  since  |  january  |  neutral  |  koistinen
  joins  |  from  |  nokia  |  siemens  |  networks  |  where  |  he  |  has  |  held  |  various
  senior  |  sales  |  management  |  and  |  business  |  development  |  positions  |  since  |  neutral  |  mcdonald
  started  |  the  |  evening  |  with  |  his  |  own  |  set  |  featuring  |  hits  |  from
